score,text
5,I AM GIVING REVIEW HONESTLY AFTER USING 4 DAYS- MY REVIEW IS ONLY FOR MUSIC LISTENERS NOT FOR GAMERS. 1. BUDS SOUND QUALITY IS CRYSTAL CLEAR AND VOICE IS TOO CLEAR. 2. THE SMALL INSTRUMENTS MUSIC ARE LISTENING VERY GOOD. 3. DRIVER SIZE IS 11MM BUT BASS QUALITY IS NOT UPTO THE MARK ON SIMPLE MUSIC PLAYERS. 4. USE POWERAMP MUSIC PLAYER FOR BEST BASS EXPERIENCE. 5. GREAT STEREO EXPERIENCE. 6. THE BUDS CASE IS VERY GLOSSY AND GETTING SCRATCHES VERY QUICKLY. 7. ONLY ONE INDICATOR LIGHT IS...
4,Pros_1) very good for music. 2) value for money product. 3) Primium design and decent battery backup. Cons_1)Not good for calling. 2) Absence of noise cancellation. I'm giving this review after a month of use as I have experienced....ğŸ˜Š Note_The delivery guy was so humble...ğŸ‘
4,"Fit looks good. Sound quality is just fine. Too many controls on ear buds. Double tap, long tap, triple tap, etc. Too many accidental touches.  No options to disable them. Case build is also average. Value for money is good"
3,I don't know why but as i keep my phone in  pocket the voice and music starts breaking... please let me know what to do
4,Sound is clear and good .bass is 4 out 5 . I am satisfied with noise brand  .good and nice product.ğŸ‘ğŸ‘
4,Amazing experience with this product.. sound quality uumhhhhğŸ˜˜
4,Awesome ğŸ‘Œ  buds...
5,Good product
4,Value for money
5,ğŸ˜ğŸ˜ğŸ˜˜ğŸ˜˜ğŸ˜˜â¤ï¸â¤ï¸â¤ï¸love it easy to buy... feeling great after purchase ...Too. Good ğŸ˜˜ğŸ˜˜
4,"Awesome Design and build, touch response, battery backup, user friendly, etc everything is on point and good LEDs are working fine A little low on sound quality and sound clarity The words heard during a call aren't distinctive or clear Rest everything's good"
5,"Its a honest review after 6 months of usage Really awesome product Has an extraordinary bass Clear audio without any harshness in the music Battery life is good If anyone is looking for earbuds,I suggest you to Buy this"
5,Really love it â£ï¸
5,Very niceğŸ‘
5,Excellent there is nothing to speak about it....just amazing...thank you Flipkart â¤â¤
4,Superb quality in this price range
4,"It's good ğŸ‘ğŸ‘ battery back up is so so good and design is so pretty and adorable I love and I like this gadget, thank you noise , and thank you flipkart and team, love you all"
5,Cute and unique design with great sound. Very comfortable in ear with  decent battery backup. Good quality in this price range. Great job Noise ğŸ‘ğŸ˜Š
5,Nice product ğŸ˜Š
4,"Value for money(means it's not too bad but not too good also, you have to take extreme good care of the case) . Fits good in ears also you don't feel the weight of it, Liked this quality. Sound and battery backup is good too."
5,"Today only I received this earbuds, the base is good and all I am feeling ok the product is moral just fine the voice and calling experience is also very good and the music is totally clear and let's see I will update this review after 2 month of use... The only thing is you have only one indicator that is in the bottom of it beside the charging point from there only you will get to know whether the your buds are charging or not that is only the backdrop nothing else is the music and clarity ..."
4,"Benefits :- cheap, fits properly in ur ear, sound quality is better, battery backup is good, good design. Know worse things:- bass is too solid that voice truely becomes a noise in ur ears, range to the connected device is around 10 mtrs. But still is a very good call in this range. I conside it to be purchased."
5,Genuine sound nd bass I like it very impressive
5,"A very nice product to buy . It's little, compact and cute . User friendly ofcourse and you love enjoying your music with these earbuds ... Read all the reviews and you'll get clarity about buying it . I felt awesome for buying it . Thanks Flipkart . Thanks for reading my review with pleasure time . Happy shopping â¤ï¸ğŸ”¥"
5,Best aripods value of money ğŸ’° sound quality is too good ğŸ‘ŒğŸ» battery backup super overall best product ğŸ˜Š
4,Simple and superb @ this price range...
4,Fantastic
5,Nice product.. Worth for buying value for money Sound Effect also super performance..
4,Good product thank you Flipkart ğŸ‘
5,"Loved it, So beautiful nice excellent charing and bass, voice sound"
5,VERY GOOD QUALITY AND VERY VALUE PRODUCT
5,Super quality
4,"In this price segment mivi duo m20 is much more better on bass quality, noise cancellation and sound quality. Noise buds is better for in its shape no stress for ears with helmet... Do u use this with helmet noise buds is better on its shape. Using power amp app for noise buds is getting much more sound quality"
5,The product is super.  I loved it worth of money
5,Very nice product... Mic need to improv but im satisfied with thisğŸ‘
5,Very nice ğŸ‘
5,Sound is very good.. Bass very good.. I am very happy this product
5,Nyc product
4,Like this products
5,Sound quality A1
5,"It was amazingâ˜ºï¸ gud quality,,sound effect was superb easy to handle totally satisfied with noise product worth for price go for it..."
5,It's Looks so Cute.. Design was amazing.. Sound quality really good. I really love it.. Worth..
4,Super
4,Very good
4,"Sound is little bit fuzzy... Overall performance is good... Its battery backup is quite impressive,â¤ï¸"
5,Super buds at most affordable priceâ€¦. Go for it without tension
4,This product is osm.... It enhance your music listening and gaming experience you should buy it and try this product
4,Sound good Built quality good
4,Nice
4,Very Nice at this price range
